X,Y,Id,gridcode,Shape_Length,Shape_Area
-77.4409152196041,37.5341840276355,1,1,0.0137442238461745,8.46108411618397e-07
-77.4389883333196,37.5267998760001,2,7,0.0327705415643322,1.73506694880817e-06
-77.4123892177568,37.5224071142607,3,13,0.000107797834061785,7.26273314275754e-10
-77.41579832426,37.5222454175095,4,13,0.0112109747457225,5.6431436548179e-07
-77.4229938300285,37.5168690267021,5,14,0.00517429603735309,5.77387285210753e-07
-77.422414415985,37.5073289183847,6,22,0.03120747297055,2.82120869099814e-05
-77.4262142899794,37.4907958994125,7,46,0.029698303293344,2.64574105816526e-05
-77.4273865914252,37.4444153812935,8,63,0.0116421660820833,4.8950821412977e-07
-77.4250689379921,37.4436338469962,9,63,0.000161696751433738,1.4525466377429e-09
-77.4250285138044,37.4436068975376,10,63,0.000107797833948098,7.26273312743855e-10
-77.4318467264682,37.4415722395872,11,73,0.00420411553045597,4.94592127325105e-07
-77.3978904090711,37.4106202603049,12,145,0.0157923826939168,6.59310915114674e-06
-77.3984967722305,37.4043550373661,13,152,0.00797703972261843,3.72578210433332e-07
-77.3598377736358,37.3850457241659,14,179,0.000107797833948098,7.26273312743855e-10
-77.364068838624,37.3849109768733,15,179,0.000107797834061785,7.26273314275754e-10
-77.3627213653552,37.3868378369899,16,179,0.0257097834296474,1.15441143373358e-05
-77.3098061038868,37.381595693475,17,294,0.00522819495370186,6.078907644471e-07
-77.3128783421585,37.3820947584576,18,205,0.0332556318178376,1.38928822371665e-05
-77.3081487121875,37.3776346230721,19,321,0.000107797834061785,7.26273314275754e-10
-77.308121762729,37.3776076736135,20,321,0.000107797834289158,7.26273317339553e-10
-77.310331618328,37.3775807241549,21,321,0.000107797833834411,7.26273311211955e-10
-77.3081621869168,37.3775807241549,22,321,0.000161696751206364,1.45254662855151e-09
-77.3083508334691,37.3775672232577,23,321,0.000215595668123569,2.17881994282726e-09
-77.3107358602058,37.3775268252379,24,321,0.000107797833834411,7.26273311211955e-10
-77.3104663656206,37.3775268252379,25,321,0.000107797834061785,7.26273314275754e-10
-77.3103181432561,37.3775403261351,26,321,0.000215595667896196,2.17881993823156e-09
-77.3084047320436,37.3775268252379,27,321,0.000161696751092677,1.45254662701961e-09
-77.3083104089387,37.3775402999672,28,321,0.000161696750865303,1.45254662395581e-09
-77.3082160858339,37.3775402999672,29,321,0.000215595667896196,2.90509325097542e-09
-77.3102777194109,37.3774998757794,30,321,0.000107797834175472,7.26273315807653e-10
-77.3098330533453,37.3773920779453,31,321,0.000323393502071667,4.35763988259073e-09
-77.3090380443188,37.3773381790282,32,321,0.000107797833948098,7.26273312743855e-10
-77.3085394793362,37.3790908938322,33,321,0.0236616245830419,1.05106274105484e-05
-77.3088628731811,37.3772977286725,34,321,0.000215595668123569,2.17881994282726e-09
-77.3089032970263,37.3772573306527,35,321,0.000107797834061785,7.26273314275754e-10
-77.308943721214,37.3772303811942,36,321,0.000161696751320051,1.452546636211e-09
-77.3091323674237,37.377270805382,37,321,0.000754584839000927,1.67042862467251e-08
-77.3091188926944,37.3772034317356,38,321,0.000107797833948098,7.26273312743855e-10
-77.3090784685066,37.3771225833601,39,321,0.000323393502412728,3.63136657291067e-09
-77.3090919432358,37.3770417349845,40,321,0.000269494585040775,2.90509325403922e-09
-77.35665773753,37.3730801645816,41,389,0.000269494585040775,3.63136656831497e-09
-77.3559166274206,37.3713818486945,42,389,0.0372980505976557,1.77326892520004e-05
-77.3696204270799,37.3670569867695,43,420,0.0104024909901455,1.93261329052096e-06
-77.3732720783672,37.3645237376682,44,434,0.00565938629074481,7.85101453150298e-07
-77.2799326291134,37.3483405616569,45,475,0.000107797833948098,7.26273312743855e-10
-77.2807411128691,37.349634635666,46,475,0.0128279422575588,6.85602009097584e-07
-77.2797709323623,37.3479767439668,47,475,0.000161696751092677,1.45254663008341e-09
-77.2797439829037,37.3479363197791,48,475,0.000107797834061785,7.26273314275754e-10
-77.3131343620145,37.3261072583749,49,546,0.000107797833948098,7.26273312743855e-10
-77.3136194522679,37.3257708901432,50,546,0.00123967509239264,2.03356528456781e-08
-77.3122450298831,37.3256760670386,51,546,0.000107797833948098,7.26273312743855e-10
-77.3111131526252,37.32564911758,52,546,0.000107797834289158,7.26273317339553e-10
-77.3123797771758,37.3256221681214,53,546,0.000107797834175472,7.26273315807653e-10
-77.3107897591229,37.3255952186629,54,546,0.000107797834061785,7.26273314275754e-10
-77.313269109307,37.3255143702875,55,546,0.000107797834175472,7.26273315807653e-10
-77.3132421598485,37.3254874208289,56,546,0.000107797834175472,7.26273315807653e-10
-77.3125414739269,37.3245441897805,57,546,0.000107797833834411,7.26273311211955e-10
